target;audio;image_2;image_3;image_4;followup_audio_second_false_answer;fb_correct;followup_audio_first_false_answer
i_005.jpg;at_007.mp3;i_010.jpg;i_009.jpg;i_011.jpg;at_139.mp3;stars_correct.mp3;at_137.mp3
i_004.jpg;at_006.mp3;i_015.jpg;i_016.jpg;i_017.jpg;at_138.mp3;stars_correct.mp4;at_137.mp3
i_006.jpg;at_008.mp3;i_012.jpg;i_013.jpg;i_014.jpg;at_140.mp3;stars_correct.mp5;at_137.mp3
i_007.jpg;at_009.mp3;i_018.jpg;i_019.jpg;i_020.jpg;at_141.mp3;stars_correct.mp6;at_137.mp3
i_008.jpg;at_010.mp3;i_021.jpg;i_022.jpg;i_023.jpg;at_142.mp3;stars_correct.mp7;at_137.mp3
