image1;audio_target;audio_distractor;question;fb_incorrect_second_try;fb_correct;fb_incorrect_first_try
i_113.jpg;at_215.mp3;at_216.mp3;at_214.mp3;at_274.mp3;stars_correct.mp3;at_137.mp3
i_114.jpg;at_430.mp3;at_221.mp3;at_220.mp3;at_277.mp3;stars_correct.mp3;at_137.mp3
i_115.jpg;at_227.mp3;at_228.mp3;at_226.mp3;at_278.mp3;stars_correct.mp3;at_137.mp3
i_116.jpg;at_233.mp3;at_234.mp3;at_232.mp3;at_280.mp3;stars_correct.mp3;at_137.mp3
i_117.jpg;at_238.mp3;at_239.mp3;at_237.mp3;at_282.mp3;stars_correct.mp3;at_137.mp3
i_247.jpg;at_1233.mp3;at_1234.mp3;at_1232.mp3;at_4586.mp3;stars_correct.mp3;at_137.mp3
i_258.jpg;at_1230.mp3;at_1231.mp3;at_1229.mp3;at_1268.mp3;stars_correct.mp3;at_137.mp3
