image1;audio_target;audio_distractor;fb_incorrect_second_try;fb_correct;question;image2
i_005.jpg;at_1121.mp3;at_4027.mp3;at_4028.mp3;stars_correct.mp3;at_4026.mp3;i_045.jpg
i_004.jpg;at_976.mp3;at_4030.mp3;at_4031.mp3;stars_correct.mp3;at_4029.mp3;i_044.jpg
i_006.jpg;at_4033.mp3;at_4034.mp3;at_4035.mp3;stars_correct.mp3;at_4032.mp3;i_011.jpg
i_007.jpg;at_4037.mp3;at_009.mp3;at_4038.mp3;stars_correct.mp3;at_4036.mp3;i_333.jpg
i_008.jpg;at_010.mp3;at_4040.mp3;at_4041.mp3;stars_correct.mp3;at_4039.mp3;i_031.jpg
